name,population,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10
Italy,60461826.0,0.028017678460455362,0.03367414010949652,0.04138148259035379,0.051090087818386434,0.06380885684795559,0.07667648013144691,0.09730106398043618,0.12197779140841694,0.1516990241082034,0.16785798033952862,0.20611352359751753,0.20611352359751753,0.2920851249183245,0.3499232722478478,0.4092995802012331,0.4627713360823737,0.5210891248967572,0.5906702189245823,0.6786927010772054,0.7776973192969726,0.8861459129600221,0.9781047631608082,1.0573117656089315,1.1441268743686306,1.2302969480280004,1.3328906077034457,1.4306216950841015,1.529427840965306,1.615713690155504,1.6826981044204652,1.7497321367700671,1.8288233636873619,1.9060291033883099,1.9818620760808647,2.061333708313738,2.132717592750176,2.1922427549574834,2.2425058746985247,2.305950865592448,2.3754823415356325,2.4408293590074503
Portugal,10196709.0,0.0,0.0001961417159203033,0.0001961417159203033,0.0004903542898007583,0.0007845668636812132,0.0012749211534819715,0.001961417159203033,0.00294212573880455,0.00294212573880455,0.0040209051763662185,0.005786180619648948,0.005786180619648948,0.010983936091536986,0.016573974995265632,0.024027360200237154,0.03246145398481019,0.043935744366147944,0.043935744366147944,0.07698562349871906,0.10003227511935468,0.12553069818899412,0.15691337273624265,0.2020259673979124,0.2316433665018782,0.2937222195906542,0.34756312061077743,0.4185664217739272,0.507026335653984,0.5846984551584241,0.6284380578086518,0.7299413957974088,0.8091826490292113,0.8859721308120101,0.9695285017940592,1.032097709172636,1.1060431360745904,1.150371163872579,1.2201976147402067,1.2887491444543528,1.3686768936918765,1.5173523143594665
Turkey,84339067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.185690138118317e-05,1.185690138118317e-05,5.928450690591586e-05,5.928450690591586e-05,7.114140828709902e-05,0.00021342422486129707,0.0005572743649156091,0.0011619763353559508,0.0022765250651871688,0.004256627595844758,0.007944123925392725,0.014655130107142398,0.01812920221182907,0.0221961193855749,0.028847841060418655,0.043028695112313727,0.06756062406998171,0.08776478402351783,0.10928506003036528,0.1283746712540702,0.1604357325887895,0.18590435675557093,0.2150249065477568,0.2480582337957331,0.28378307765723804,0.32095446348724727,0.3582799890352119,0.40442704921077677,0.4532419121971079,0.5013335041991868,0.5576182150556633
Sweden,10099265.0,0.0013862394936661232,0.0014852566003565606,0.0020793592404991846,0.003465598734165308,0.009307608028901114,0.010000727775734176,0.015941754177160417,0.02010047265815879,0.02455624245922847,0.035151072875105265,0.049508553345218684,0.05931124690757199,0.08059992484601602,0.09515543952951032,0.101195483037627,0.10921586867955242,0.11783035696162047,0.1266428794570694,0.14248561652753938,0.16228903786562685,0.1745671590952411,0.19149908433930588,0.20258900028863489,0.22635310589433985,0.2501172115000448,0.2812085830008421,0.3038835004329523,0.3413119667619376,0.36636329475461826,0.3988409057490817,0.43914086817208975,0.4898376267975937,0.5513272500523554,0.6070738811190716,0.6379672184064881,0.6762868386956873,0.7135172708112917,0.7617386017695347,0.8336250212267923,0.905115372257288,0.958980678296886
United Kingdom,67886011.0,0.0005303007124693186,0.0005892230138547985,0.000751259342664868,0.0012668294797878166,0.0017087467401789155,0.0024158143568046735,0.003049229096698582,0.004036177644905369,0.004743245261531128,0.005656540933006065,0.006761334083983812,0.006761334083983812,0.011813921427788709,0.01685177819624724,0.016866508771593604,0.02284712236221981,0.028871927678885124,0.038918180065109435,0.040008242640740814,0.05912852944032902,0.07463982528005658,0.08462715536489543,0.09907784977968437,0.12026041712776436,0.14200274633900642,0.17399755599132197,0.21720233348222506,0.2550157203963568,0.29137078035119784,0.33074560825204474,0.375349790400853,0.4399286327193389,0.5033879513115007,0.5699112295757074,0.6257106489877569,0.7134901474767755,0.7700997485328752,0.8241609600540529,0.905547388842747,0.9703324592160821,1.098974573715931
Brazil,212559417.0,9.409133823508746e-06,9.409133823508746e-06,9.409133823508746e-06,1.8818267647017493e-05,1.8818267647017493e-05,6.115936985280686e-05,6.115936985280686e-05,9.409133823508746e-05,0.00011761417279385933,0.00014584157426438557,0.00017877354264666617,0.00024463747941122743,0.0007103896036749104,0.0007103896036749104,0.0007621398397042084,0.0009409133823508746,0.0015101659786731537,0.0017500988911726269,0.002921536052199466,0.003730721561021218,0.004803362816901215,0.0072732604455722615,0.009051586738215414,0.010571161850712076,0.012015463892620669,0.014043132231586803,0.016075505137464693,0.01836662922348907,0.02002263677642661,0.021542211888923274,0.026896009034499752,0.032160419408752895,0.03784353623815218,0.0426045579528476,0.048739313205775306,0.05236182972782617,0.05721223821384493,0.06602389203956087,0.07607284696306821,0.08511502456746012,0.09238828501303238
"Korea, South",51269185.0,0.07287028260737907,0.08455371389266281,0.10115237837309096,0.10963700710280455,0.11874579242872693,0.12859576371264728,0.1373339560595707,0.14265879202097712,0.14585759457654732,0.14654026585365068,0.15126045011247985,0.15348400798647374,0.15562954628594156,0.15771656990451477,0.1591989418205107,0.1606423039492436,0.16228071501429173,0.16409467012202358,0.16705941395401547,0.16875633969995818,0.17162355906379242,0.17478335183209953,0.17478335183209953,0.17626572374809546,0.17821621311124802,0.18024472204892664,0.18201966736939548,0.18486738183959817,0.18691539567090837,0.18843677737416734,0.19087488907810804,0.19284488333489208,0.19458081886809786,0.19625823972040904,0.19809169972177246,0.199671596105926,0.2005883261066077,0.20150505610728942,0.20253881546976027,0.20329950632138974,0.20382613844944092
China,1439323776.0,0.05553441229334629,0.05567614551793522,0.05576299185653138,0.055849838195127545,0.05595474857215171,0.05606104849059341,0.05611663014729495,0.056153452994859715,0.05617915951108418,0.05619791832022095,0.05622154052431911,0.056229183002115574,0.05623821502132957,0.056260447684010194,0.05627851172243819,0.056299354843701264,0.0563167241114205,0.05634729402260635,0.05638481164087989,0.0564501200875042,0.05648833247648651,0.05657865266862652,0.05662242322327899,0.05668703689919453,0.05673567084880838,0.05681973810456946,0.05689963673607793,0.05697050334837239,0.05705596014555102,0.05710876271941748,0.057165039146827794,0.05722201034494688,0.057271339065269496,0.05732622595126227,0.05734845861394288,0.05738945008576027,0.05743322064041274,0.05747004348797751,0.057533267622475515,0.05758468065492444,0.057624977356033065
Switzerland,8654622.0,0.003119720306675439,0.004852898254828461,0.006470531006437947,0.01039906768891813,0.013172152405962964,0.02472667206031644,0.03096611267366732,0.03893873123517121,0.043213903507282006,0.056732691502875576,0.07533546814638467,0.07533546814638467,0.1316059788630861,0.15702592210266378,0.2541994323957765,0.2541994323957765,0.3119720306675439,0.3498708551338233,0.4708466759149042,0.6116962705014731,0.7597096672737411,0.8635847989663789,1.0162200036003883,1.141239906260493,1.2590960067348984,1.3647043163756891,1.4937683009148175,1.6264141865467954,1.7134197195440772,1.8397106193661605,1.9186279886053947,2.0530070521855257,2.1753694153251293,2.265379123432543,2.3692542551251803,2.4380036470685837,2.5023623215433326,2.571227258683279,2.6898921755334895,2.778977522068555,2.836750120340322
France,65273511.0,0.001991619540735291,0.0029261487098495437,0.003125310663923073,0.004412203290244338,0.005821657119072391,0.010050018605556548,0.014692024150501113,0.01740369075596378,0.018675263231971696,0.027484349662147023,0.03512910466850787,0.03512910466850787,0.05639347330343544,0.0688793958088144,0.06943092122009493,0.10238456454410733,0.11819495966748288,0.13978105145899078,0.1680620489374319,0.19545447769769886,0.22157533398195783,0.248845201539718,0.30828738475550976,0.34657244038856744,0.392195848021719,0.45272576190975844,0.5117236607664631,0.5837743276901407,0.6236526789557865,0.692011189653947,0.8093175806032558,0.8847233604455566,0.9181212881286561,0.9989044407309421,1.3918050156670752,1.4366164553336194,1.5161280354598974,1.6862123442386912,1.7458690095588698,1.819742774369836,1.9292818491102768
