user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
ayoominnie,6781878467056567301,6829521119100308742,#mom #momlife,1590121800,8,https://www.tiktok.com/@ayoominnie/video/6829521119100308742?lang=en,26500,848,201,741100
imbaddiesonly,6740355705893438470,6848805691197639942,Tik tok took this down the 1st time. Wait for my GFs reaction 😂😂 @alexiaraecastillo @loganreesee #fyp #viral #foryoupage #tiktok,1594611842,21,https://www.tiktok.com/@imbaddiesonly/video/6848805691197639942?lang=en,968800,6544,1993,22800000
jasonderulo,21609287,6845054906852756742,They interrupted my TikTok 😂 @justmaiko @javierr,1593738543,15,https://www.tiktok.com/@jasonderulo/video/6845054906852756742?lang=en,1000000,3707,3344,7800000
jasonderulo,21609287,6842915744951307526,Cotton candy sandwich #MilliMeals thanks for 25million,1593240483,30,https://www.tiktok.com/@jasonderulo/video/6842915744951307526?lang=en,4800000,77300,108800,30900000
jasonderulo,21609287,6853212442890194181,2 Kinds of people. Which one are you? 😂 @hannahstocking,1595637867,18,https://www.tiktok.com/@jasonderulo/video/6853212442890194181?lang=en,2600000,18100,76800,14800000
spencerx,6524904798586672143,6846947183145536774,Had to put my beatbox spin on this one 🗣🎶,1594179126,13,https://www.tiktok.com/@spencerx/video/6846947183145536774?lang=en,952400,20400,9147,8500000
quapro,6811373430676390917,6837767859452644613,new pillow.#foryoupage #lifechanllenge #foryou #summer,1592041896,10,https://www.tiktok.com/@quapro/video/6837767859452644613?lang=en,955300,111600,3969,75700000
naturewhissperer,6656430050252423174,6853113151345413382,#foryou #flight,1595614748,10,https://www.tiktok.com/@naturewhissperer/video/6853113151345413382?lang=en,314600,45300,4695,9800000
melissa.kristine,6774598876546843654,6827672535497198853,#fyp #foryou #foryoupage,1589691393,15,https://www.tiktok.com/@melissa.kristine/video/6827672535497198853?lang=en,621700,7716,3461,6300000
joealbanese,6567760124612624390,6853553438156934405,"Can’t believe it’s already been one year since this video... if this gets 50,000 shares I’ll do it again 🤣",1595717261,14,https://www.tiktok.com/@joealbanese/video/6853553438156934405?lang=en,1300000,74400,17300,7900000
fish_man01,6852189858987983877,6858062847797218566,3 people catch fish on the bridge together. On the same time throw fishing nets. #fish#fishing#fyp #tiktok,1596767195,11,https://www.tiktok.com/@fish_man01/video/6858062847797218566?lang=en,136600,941,144,5600000
goodboybeau,6750460268007998469,6851729721252678918,Life is a salty beach 🏖 #fypage #fyp #dogsoftiktok #boxerdog ￼#goodvibes #dog #beach #funny #tiktokdogs #viral,1595292644,53,https://www.tiktok.com/@goodboybeau/video/6851729721252678918?lang=en,231900,57700,2245,2800000
nikolasplytas,6707710209031111686,6830534190035897606,I cut the pineapple 🍍 in the middle. #foryoupage #fyp #surffoil,1590357673,10,https://www.tiktok.com/@nikolasplytas/video/6830534190035897606?lang=en,475700,6935,1942,7500000
memezar,6687542291974308869,6859050612856720646,The cat really said ‘😳’ 😂😂🤣 (credit: @katherinl3) #memezar #foryou #fyp #fy #cat #funny #cute #pet,1596997172,8,https://www.tiktok.com/@memezar/video/6859050612856720646?lang=en,1800000,118100,27900,9400000
yobielromeo25,6786538590408180742,6829355744601574662,#foryou #funny #tiktok #tiktokindia #fyp,1590083294,15,https://www.tiktok.com/@yobielromeo25/video/6829355744601574662?lang=en,66200,337,325,1900000
brotherhq,6642350761873489926,6851312326835031302,Can I get a ride tho? 🙏 #travel #couch #innovative #luxury #roadtrip #fyp (IG/byondhuman),1595195462,9,https://www.tiktok.com/@brotherhq/video/6851312326835031302?lang=en,358400,26500,4678,3100000
spencerx,6524904798586672143,6854401902982008069,THANK YOU FOR 39 MILLION!!! 🗣🎶💚,1595914813,9,https://www.tiktok.com/@spencerx/video/6854401902982008069?lang=en,526700,1624,3976,4100000
jake.pnw,6573473743640297477,6852880686831914246,Good luck 👃 #challenge #TokyoOlympics #supra #bangenergy #shark,1595560625,15,https://www.tiktok.com/@jake.pnw/video/6852880686831914246?lang=en,891400,81600,80000,5600000
