,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
2674,Texas,48269,159,0.05,0.95,8,151
2675,Texas,48271,1603,0.28,0.71,446,1144
2676,Texas,48273,11041,0.49,0.5,5359,5557
2677,Texas,48275,1456,0.18,0.81,265,1180
2678,Texas,48283,2406,0.44,0.55,1052,1335
2679,Texas,48285,10195,0.13,0.86,1333,8802
2680,Texas,48277,21338,0.21,0.78,4420,16698
2681,Texas,48279,4394,0.19,0.8,835,3513
2682,Texas,48281,10373,0.21,0.78,2134,8070
2683,Texas,48287,8075,0.22,0.77,1745,6248
2684,Texas,48289,8672,0.12,0.87,1072,7522
2685,Texas,48291,29314,0.2,0.79,5779,23288
2686,Texas,48293,9092,0.24,0.75,2213,6786
2687,Texas,48295,1351,0.1,0.89,131,1203
2688,Texas,48297,5053,0.16,0.83,819,4198
2689,Texas,48299,13278,0.24,0.75,3167,9996
2690,Texas,48301,66,0.06,0.91,4,60
2691,Texas,48303,120204,0.33,0.65,39757,78560
2692,Texas,48305,2293,0.19,0.81,428,1853
2693,Texas,48313,5289,0.2,0.79,1084,4165
2694,Texas,48315,4844,0.27,0.71,1331,3459
2695,Texas,48317,2160,0.13,0.86,288,1857
2696,Texas,48319,2700,0.21,0.78,566,2108
2697,Texas,48321,13710,0.27,0.72,3726,9836
2698,Texas,48323,30676,0.54,0.45,16648,13762
2699,Texas,48307,3430,0.14,0.84,490,2898
2700,Texas,48309,97617,0.37,0.61,36550,59432
2701,Texas,48311,516,0.1,0.89,53,460
2702,Texas,48325,22568,0.3,0.69,6731,15599
2703,Texas,48327,1023,0.19,0.8,196,819
2704,Texas,48329,58752,0.21,0.77,12258,45463
2705,Texas,48331,10523,0.24,0.76,2475,7950
2706,Texas,48333,2502,0.11,0.88,271,2214
2707,Texas,48335,2579,0.15,0.84,397,2169
2708,Texas,48337,9812,0.11,0.88,1097,8613
2709,Texas,48339,271175,0.27,0.71,74255,193224
2710,Texas,48341,5502,0.19,0.79,1059,4356
2711,Texas,48343,5548,0.3,0.69,1664,3841
2712,Texas,48345,652,0.07,0.93,46,604
2713,Texas,48347,26755,0.34,0.65,8989,17359
2714,Texas,48349,19105,0.27,0.72,5097,13787
2715,Texas,48351,6096,0.19,0.8,1175,4882
2716,Texas,48353,5352,0.22,0.77,1161,4127
2717,Texas,48355,126984,0.48,0.51,60749,64467
2718,Texas,48357,3155,0.1,0.89,302,2811
2719,Texas,48359,1009,0.08,0.91,81,917
2720,Texas,48361,35974,0.18,0.81,6354,29170
2721,Texas,48363,12478,0.17,0.82,2177,10170
2722,Texas,48365,11452,0.18,0.81,2057,9322
2723,Texas,48367,75434,0.17,0.82,12789,61584
2724,Texas,48369,2648,0.18,0.81,488,2133
2725,Texas,48371,4668,0.3,0.69,1378,3213
2726,Texas,48373,24072,0.22,0.77,5353,18496
2727,Texas,48375,33242,0.3,0.68,9867,22732
2728,Texas,48377,2217,0.66,0.33,1463,721
2729,Texas,48379,6044,0.14,0.85,841,5147
2730,Texas,48381,69973,0.16,0.82,11414,57695
2731,Texas,48383,1124,0.15,0.84,172,942
2732,Texas,48385,1982,0.16,0.83,320,1643
2733,Texas,48387,5800,0.21,0.78,1244,4513
2734,Texas,48389,3683,0.38,0.61,1394,2249
2735,Texas,48391,3366,0.33,0.66,1108,2210
2736,Texas,48393,550,0.03,0.96,17,529
2737,Texas,48395,8080,0.29,0.7,2359,5631
2738,Texas,48397,57792,0.31,0.67,18149,38842
2739,Texas,48399,4262,0.12,0.86,531,3682
2740,Texas,48401,21367,0.22,0.77,4624,16511
2741,Texas,48403,5462,0.12,0.87,662,4767
2742,Texas,48405,3998,0.24,0.75,979,3005
2743,Texas,48407,12628,0.18,0.8,2332,10154
2744,Texas,48409,25850,0.35,0.64,8971,16495
